0.001,1,0.01,-0.330716,-0.026459,1000000
0.001,0.2,0.01,-0.0933725,-0.0281171,10000000
0.001,0.5,0.01,-0.183686,-0.028607,1000000
0.001,0.19,0.05,-0.095401,-0.029834,1000000
0.001,1,0.5,-0.329832,-0.031992,1000000
0.001,0.01,0.5,-0.038731,-0.034071,1000000
0.001,0.5,0.5,-0.184393,-0.034388,1000000
0.001,0.01,0.01,-0.047036,-0.035299,1000000
0.001,0.01,1,-0.042833,-0.035578,1000000
0.5,0.01,0.01,-0.049868,-0.039933,1000000
0.001,0.5,1,-0.182338,-0.043225,1000000
0.001,1,1,-0.330092,-0.043352,1000000
0.5,0.01,0.5,-0.048371,-0.049044,1000000
0.5,0.01,1,-0.047018,-0.057943,1000000
0.5,0.5,1,-0.208527,-0.069346,1000000
0.5,0.5,0.5,-0.208725,-0.089102,1000000
0.5,1,0.5,-0.330203,-0.093056,1000000
0.5,1,0.01,-0.329938,-0.105176,1000000
1,1,0.01,-0.329104,-0.105387,1000000
0.5,1,1,-0.332064,-0.106646,1000000
0.5,0.5,0.01,-0.212109,-0.10892,1000000
1,1,0.5,-0.330395,-0.127834,1000000
1,0.5,1,-0.224611,-0.131077,1000000
1,0.5,0.5,-0.226803,-0.133396,1000000
1,1,1,-0.328341,-0.141923,1000000
1,0.01,0.5,-0.153977,-0.150266,1000000
1,0.01,0.01,-0.152758,-0.150812,1000000
1,0.01,1,-0.154851,-0.152857,1000000
1,0.5,0.01,-0.227973,-0.164582,1000000
0.001,0.19,0.050000000000000003,-0.0903237,-0.0277991,10000000
